Codigo	Nombre
M	Madrid
TO	Toledo
CR	Ciudad Real
CC	Cáceres
BA	Badajoz
H	Huelva
SE	Sevilla
CA	Cádiz
MA	Málaga
CO	Córdoba
J	Jaén
GR	Granada
AL	Almería
MU	Murcia
A	Alicante
AB	Albacete
CU	Cuenca
TE	Teruel
V	Valencia
CS	Castellón de la Plana
T	Tarragona
B	Barcelona
GE	Girona
L	Lleida
HU	Huesca
Z	Zaragoza
SO	Soria
LO	Logroño
NA	Pamplona
SS	San Sebastián
VI	Vitoria
BI	Bilbao
S	Santander
BU	Burgos
VA	Valladolid
P	Palencia
LE	León
O	Oviedo
LU	Lugo
C	A Coruña
PO	Pontevedra
OR	Ourense
ZA	Zamora
SA	Salamanca
AV	Ávila
SG	Segovia
GU	Guadalajara
