Origen	Destino	Distancia_km
M	TO	74.81
M	CR	190.65
M	CU	168.46
M	SO	227.40
M	BU	241.96
M	VA	184.40
M	SA	214.34
M	AV	106.92
M	SG	94.42
M	GU	59.45
TO	CR	121.85
TO	CU	185.35
TO	SA	237.63
TO	AV	134.44
TO	SG	164.76
TO	GU	132.15
CR	CO	189.52
CR	J	189.38
CR	AB	214.70
CC	BA	92.00
CC	SA	201.37
CC	AV	239.87
BA	H	234.19
BA	SE	241.92
H	SE	91.19
H	CA	208.83
H	CO	233.33
SE	CA	123.24
SE	MA	212.86
SE	CO	144.08
CA	MA	238.58
MA	CO	161.64
MA	J	187.66
MA	GR	129.03
MA	AL	220.91
CO	J	115.08
CO	GR	164.31
J	GR	93.04
J	AL	217.86
GR	AL	162.15
AL	MU	204.88
MU	A	89.15
MU	AB	153.58
MU	V	223.23
A	AB	167.76
A	V	176.51
AB	CU	162.77
AB	TE	227.98
AB	V	169.16
AB	CS	237.05
CU	TE	146.54
CU	V	198.81
CU	GU	136.47
TE	V	141.16
TE	CS	144.16
TE	Z	184.65
TE	SO	228.96
TE	GU	246.46
V	CS	76.66
CS	T	188.48
T	B	96.53
T	GE	188.15
T	L	97.04
T	HU	213.33
T	Z	234.75
B	GE	102.01
B	L	158.33
GE	L	225.90
L	HU	117.60
L	Z	152.99
HU	Z	74.95
HU	SO	236.01
HU	LO	240.75
HU	NA	160.42
HU	SS	246.25
Z	SO	167.69
Z	LO	172.43
Z	NA	180.50
SO	LO	101.10
SO	NA	172.18
SO	VI	184.16
SO	BI	222.07
SO	BU	143.27
SO	VA	208.48
SO	P	207.51
SO	SG	191.04
SO	GU	170.55
LO	NA	85.23
LO	SS	167.55
LO	VI	63.35
LO	BI	136.84
LO	S	234.05
LO	BU	113.70
LO	VA	245.73
LO	P	205.72
NA	SS	82.96
NA	VI	96.47
NA	BI	154.61
NA	BU	209.92
SS	VI	99.71
SS	BI	102.04
SS	S	198.15
SS	BU	213.44
VI	BI	64.35
VI	S	161.55
VI	BU	115.36
VI	VA	243.11
VI	P	203.10
BI	S	99.51
BI	BU	157.59
BI	P	245.34
S	BU	180.93
S	P	201.69
S	O	199.79
BU	VA	131.93
BU	P	91.92
BU	LE	177.51
BU	ZA	231.30
BU	SA	243.72
BU	SG	199.15
VA	P	54.21
VA	LE	140.79
VA	ZA	109.06
VA	SA	121.48
VA	AV	119.28
VA	SG	113.17
VA	GU	243.15
P	LE	134.41
P	ZA	155.58
P	SA	168.00
P	AV	188.87
P	SG	163.95
LE	O	129.53
LE	LU	228.23
LE	ZA	143.03
LE	SA	208.58
O	LU	226.02
LU	C	99.75
LU	PO	133.75
LU	OR	88.93
C	PO	139.18
C	OR	170.57
PO	OR	93.56
ZA	SA	68.88
ZA	AV	184.01
ZA	SG	219.65
SA	AV	112.53
SA	SG	154.01
AV	SG	68.97
AV	GU	162.66
SG	GU	147.55
