Origen	Destino	Distancia
A	AB	174.4
A	MU	86.7
A	V	156.7
AB	A	174.4
AB	CR	224.2
AB	CU	152.5
AB	GR	316.6
AB	J	270.7
AB	MU	161.0
AB	V	172.4
AL	GR	135.2
AL	MU	216.8
AV	CC	242.1
AV	M	110.3
AV	SA	110.5
AV	SG	73.6
AV	TO	132.3
AV	VA	138.0
B	GE	107.2
B	L	161.9
B	T	102.2
BA	CC	105.0
BA	CO	275.8
BA	CR	328.8
BA	H	224.9
BA	SE	234.2
BI	BU	150.0
BI	S	92.2
BI	SS	96.6
BI	VI	62.8
BU	BI	150.0
BU	LO	129.4
BU	P	97.0
BU	S	156.3
BU	SO	150.2
BU	VA	142.3
BU	VI	125.8
C	LU	99.4
C	PO	132.9
CA	H	125.0
CA	MA	210.8
CA	SE	123.6
CC	AV	242.1
CC	BA	105.0
CC	CR	271.3
CC	SA	220.4
CC	TO	256.6
CO	BA	275.8
CO	CR	178.9
CO	GR	162.8
CO	J	110.5
CO	MA	166.8
CO	SE	149.8
CR	AB	224.2
CR	BA	328.8
CR	CC	271.3
CR	CO	178.9
CR	CU	244.6
CR	J	170.4
CR	TO	121.3
CS	T	207.8
CS	TE	124.0
CS	V	80.4
CU	AB	152.5
CU	CR	244.6
CU	GU	134.4
CU	M	173.3
CU	TE	115.4
CU	TO	203.6
CU	V	205.6
GE	B	107.2
GE	L	231.9
GR	AB	316.6
GR	AL	135.2
GR	CO	162.8
GR	J	84.3
GR	MA	111.1
GR	MU	294.4
GU	CU	134.4
GU	M	64.2
GU	SG	109.2
GU	SO	173.7
GU	TE	221.4
GU	Z	277.6
H	BA	224.9
H	CA	125.0
H	SE	108.2
HU	L	130.1
HU	NA	157.9
HU	Z	84.0
J	AB	270.7
J	CO	110.5
J	CR	170.4
J	GR	84.3
L	B	161.9
L	GE	231.9
L	HU	130.1
L	T	94.7
L	Z	157.6
LE	LU	210.4
LE	O	109.6
LE	OR	238.3
LE	P	133.6
LE	ZA	154.1
LO	BU	129.4
LO	NA	95.8
LO	SO	97.3
LO	VI	58.4
LO	Z	197.5
LU	C	99.4
LU	LE	210.4
LU	O	179.5
LU	OR	99.8
LU	PO	137.1
M	AV	110.3
M	CU	173.3
M	GU	64.2
M	SG	85.9
M	TO	85.0
MA	CA	210.8
MA	CO	166.8
MA	GR	111.1
MA	SE	196.4
MU	A	86.7
MU	AB	161.0
MU	AL	216.8
MU	GR	294.4
NA	HU	157.9
NA	LO	95.8
NA	SS	78.0
NA	VI	106.0
NA	Z	180.3
O	LE	109.6
O	LU	179.5
O	S	206.3
OR	LE	238.3
OR	LU	99.8
OR	PO	80.2
OR	ZA	247.6
P	BU	97.0
P	LE	133.6
P	S	214.3
P	VA	54.4
PO	C	132.9
PO	LU	137.1
PO	OR	80.2
S	BI	92.2
S	BU	156.3
S	O	206.3
S	P	214.3
SA	AV	110.5
SA	CC	220.4
SA	TO	232.4
SA	VA	137.3
SA	ZA	74.6
SE	BA	234.2
SE	CA	123.6
SE	CO	149.8
SE	H	108.2
SE	MA	196.4
SG	AV	73.6
SG	GU	109.2
SG	M	85.9
SG	SO	206.2
SG	VA	115.7
SO	BU	150.2
SO	GU	173.7
SO	LO	97.3
SO	SG	206.2
SO	Z	165.1
SS	BI	96.6
SS	NA	78.0
SS	VI	96.6
T	B	102.2
T	CS	207.8
T	L	94.7
T	TE	270.5
T	Z	234.5
TE	CS	124.0
TE	CU	115.4
TE	GU	221.4
TE	T	270.5
TE	V	144.3
TE	Z	183.1
TO	AV	132.3
TO	CC	256.6
TO	CR	121.3
TO	CU	203.6
TO	M	85.0
TO	SA	232.4
V	A	156.7
V	AB	172.4
V	CS	80.4
V	CU	205.6
V	TE	144.3
VA	AV	138.0
VA	BU	142.3
VA	P	54.4
VA	SA	137.3
VA	SG	115.7
VA	ZA	109.4
VI	BI	62.8
VI	BU	125.8
VI	LO	58.4
VI	NA	106.0
VI	SS	96.6
Z	GU	277.6
Z	HU	84.0
Z	L	157.6
Z	LO	197.5
Z	NA	180.3
Z	SO	165.1
Z	T	234.5
Z	TE	183.1
ZA	LE	154.1
ZA	OR	247.6
ZA	SA	74.6
ZA	VA	109.4
