Origen	Destino	Distancia
A	AB	167.76
A	MU	89.59
A	V	176.51
AB	A	167.58
AB	CR	215.33
AB	CU	162.77
AB	GR	342.05
AB	J	261.36
AB	MU	153.93
AB	V	169.16
AL	GR	169.95
AL	MU	204.88
AV	CC	240.71
AV	M	107.34
AV	SA	112.50
AV	SG	68.97
AV	TO	135.17
AV	VA	116.98
B	GE	102.01
B	L	158.33
B	T	97.14
BA	CC	92.26
BA	CO	298.77
BA	CR	308.17
BA	H	234.19
BA	SE	241.92
BI	BU	157.59
BI	S	99.51
BI	SS	99.27
BI	VI	64.82
BU	BI	154.75
BU	LO	113.35
BU	P	91.92
BU	S	155.45
BU	SO	143.52
BU	VA	131.93
BU	VI	117.82
C	LU	96.59
C	PO	139.18
CA	H	211.48
CA	MA	238.58
CA	SE	122.42
CC	AV	239.87
CC	BA	92.00
CC	SA	201.37
CC	TO	262.60
CO	BA	263.29
CO	CR	190.17
CO	GR	164.31
CO	J	115.08
CO	MA	160.83
CO	SE	143.28
CR	AB	214.70
CR	BA	307.99
CR	CO	189.52
CR	CU	262.27
CR	J	189.38
CR	TO	123.65
CS	T	188.48
CS	TE	142.82
CS	V	76.15
CU	AB	163.29
CU	CR	261.50
CU	GU	136.47
CU	M	168.05
CU	TE	146.54
CU	TO	184.50
CU	V	198.81
GE	B	103.07
GE	L	225.90
GR	AB	345.72
GR	AL	162.15
GR	CO	165.91
GR	J	95.67
GR	MA	130.88
GR	MU	282.52
GU	CU	137.34
GU	M	57.62
GU	SG	154.40
GU	SO	170.93
GU	TE	245.31
GU	Z	259.78
H	BA	234.50
H	CA	208.83
H	SE	91.19
HU	L	113.15
HU	NA	160.42
HU	Z	74.95
J	AB	262.20
J	CO	116.87
J	CR	192.29
J	GR	93.04
L	B	164.93
L	GE	228.23
L	HU	117.60
L	T	97.54
L	Z	152.99
LE	LU	228.23
LE	O	129.53
LE	OR	301.62
LE	P	134.75
LE	ZA	143.03
LO	BU	113.70
LO	NA	85.23
LO	SO	100.93
LO	VI	63.35
LO	Z	173.63
LU	C	99.75
LU	LE	228.20
LU	O	238.56
LU	OR	88.93
LU	PO	133.75
M	AV	106.92
M	CU	168.46
M	GU	59.45
M	SG	94.42
M	TO	74.81
MA	CA	238.69
MA	CO	161.64
MA	GR	129.03
MA	SE	212.60
MU	A	89.15
MU	AB	153.58
MU	AL	210.62
MU	GR	281.40
NA	HU	160.40
NA	LO	85.26
NA	SS	82.96
NA	VI	96.47
NA	Z	181.29
O	LE	125.05
O	LU	226.02
O	S	196.28
OR	LE	301.61
OR	LU	89.40
OR	PO	93.49
OR	ZA	261.61
P	BU	92.76
P	LE	134.41
P	S	201.90
P	VA	56.20
PO	C	140.45
PO	LU	134.02
PO	OR	93.56
S	BI	99.69
S	BU	180.93
S	O	199.79
S	P	201.69
SA	AV	112.53
SA	CC	201.88
SA	TO	238.46
SA	VA	120.73
SA	ZA	68.78
SE	BA	206.72
SE	CA	123.24
SE	CO	144.08
SE	H	90.90
SE	MA	212.86
SG	AV	68.73
SG	GU	147.55
SG	M	92.23
SG	SO	190.79
SG	VA	112.12
SO	BU	143.27
SO	GU	170.55
SO	LO	101.10
SO	SG	191.04
SO	Z	155.82
SS	BI	102.04
SS	NA	83.17
SS	VI	99.71
T	B	96.53
T	CS	189.05
T	L	97.04
T	TE	333.60
T	Z	234.75
TE	CS	144.16
TE	CU	147.35
TE	GU	246.46
TE	T	333.53
TE	V	141.16
TE	Z	184.65
TO	AV	134.44
TO	CC	262.38
TO	CR	121.85
TO	CU	185.35
TO	M	75.37
TO	SA	237.63
V	A	177.00
V	AB	186.42
V	CS	76.66
V	CU	199.10
V	TE	141.31
VA	AV	119.28
VA	BU	130.21
VA	P	54.21
VA	SA	121.48
VA	SG	113.17
VA	ZA	109.06
VI	BI	64.35
VI	BU	115.36
VI	LO	62.94
VI	NA	97.04
VI	SS	101.67
Z	GU	258.99
Z	HU	74.63
Z	L	154.37
Z	LO	172.43
Z	NA	180.50
Z	SO	167.69
Z	T	235.62
Z	TE	183.24
ZA	LE	146.93
ZA	OR	266.57
ZA	SA	68.88
ZA	VA	110.34
